,Produto,Preco
72,"Computador Desktop Jab Computadores Intel Core I3 2100 3.1 GhZ, Memoria RAM DDR3 de 4GB + SSD 120 Gb+ WIFI + Teclado + Mouse",1299.0
73,"Kit Computador Desktop Dell Vostro 3681-M10M 10ª Geração Intel Core i3 4GB 1TB Windows 10 + Monitor 21""",3929.0
74,Caixa Caixinha de Som Gamer Pc Soundbar Gamer Led Rgb Para Computador Tv Notebook Gamer Usb Auxiliar P2 Luz de Led Sincronizada,129.0
75,"Computador Completo Intel Core i5 8GB HD 500GB Windows 10 Monitor 19"" HDMI 3green ElitePC Slim",3089.0
76,Computador Desktop Dell Vostro 3681-M10 10ª Geração Intel Core i3 4GB 1TB Windows 10,3099.0
77,"NANO COMPUTADOR BUSINESS SKUL B500 - I5 5300U 2.3GHZ MEM 8GB DDR3 SODIMM SSD 480GB WI-FI FONTE EXTERNA WINDOWS 10 PRO, Branco",4580.0
78,Computador Completo Intel Core i3 8gb SSD 120GB Monitor Hdmi,2649.0
79,"Razer Headset Kraken X Lite Multi Platform, Razer, Microfones e fones de ouvido",289.0
80,Speaker C3Tech SP-301 Preto - Sistema de audio 2.0 P2 Com Blindagem Eletromagnética alimentacao via porta USB,32.0
81,"Computador IntelCore i5, 3,2G, com HMDI, 500GB, Windows 10 e Wi-Fi",1659.0
82,Computador Pc Cpu Intel Core i5 Com Hdmi 16GB HD 500GB+SSD 240GB Windows 10 Wifi Desktop,2200.0
83,"Computador Core I5 Quad Core intel, 8GB Memoria, SSD 240GB ultra velocidade, Gabinete com fonte",1649.0
84,Computador Desktop Dell Vostro VST-3681-MS11P 10ª Geração Intel Core i3 4GB 256GB SSD Windows Pro,3699.0
85,Pc G-fire Amd A10 9700 8gb 1tb Monitor 21 Radeon R7 2gb integrada Computador Gamer Evb-mk Htg-138,3999.0
86,"Gabinete Gamer Mid Tower RGB BOLT, Aerocool, Acessórios para Computador",327.0
87,COMPUTADOR BUSINESS B500 - I5 4570 3.2GHZ 4GB DDR3 HD 500GB HDMI/VGA FONTE 250W,3067.0
88,"Pc Computador Gamer CPU, Ryzen 5 2400g, A320m, 16gb Ddr4, Ssd 240gb, 500w",3577.0
89,"Kit Computador All in One Dell Inspiron 5400-OS20F 23.8"" FHD 11ª G Intel Core i7 8GB 256GB SSD Windows 10 Microsoft 365",6439.0
90,Computador Desktop Completo com Monitor LED HDMI Intel Core i5 8GB HD 500GB com caixas de som mouse e teclado CorPC Standard Plus,2549.0
91,Computador Pc Cpu Intel Core i5 Com HDMI 16GB HD 500GB Windows 10 + BRINDE Wifi Desktop LIQUIDAÇÃO,1899.0
92,"Headset Gamer Com Microfone Estéreo Super Bass 5.1 HD Para Pc Computador Notebook Mac, Xbox One e Ps4",99.0
93,"Mouse sem fio Logitech M190 com Design Ambidestro de Tamanho Padrão, Conexão USB e Pilha Inclusa - Azul",59.0
94,"PC Intel Core i5, 8GB RAM DDR3, HD SSD 240GB",1366.0
95,Computador Fácil Intel Core I3 2.93Ghz 4GB DDR3 HD 500GB,1141.0
96,"ZIXING Webcam de computador HD 1080p, câmera Web de ângulo ultra grande com microfone de redução de ruído, adequada para computadores de mesa, laptop, PC, jogos, rede, ensino de conferência",173.0
97,Sangmei Cabo HDMI 2.1 Cabo HD com 8K de resolução 4K a 120Hz Visão 3D 48Gbps Largura de banda para o computador Smart Box Projector 3m,159.0
98,"Prasacco Capa para monitor de computador PU 24""",97.0
99,Pc Gamer Completo Maximus I5 GT 730 4GB 8GB Hd 1Tb Wi-fi,4199.0
100,Pc Gamer Bravus Intel i7 GTX 1650 16GB Hd 1TB SSD 120GB Wi-fi,8990.0
101,"Rato para jogos RGB sem fio, mouse de computador óptico USB de 2,4 GHz com RGB, 5 DPI ajustável até 3600, mouse de laptop ergonômico com 7 botões programáveis,rosa",159.0
102,Caixa De Som Multilaser 20 Mini 3W Rms Preta - SP144,29.0
