,Produto,Preco
176,"Computador Intel Core i5 8GB DDR3 HD 1TB
",1749.0
177,"Computador Intel Core i5 8GB DDR3 SSD 120GB
",1629.0
178,"Computador Fácil Intel Core i5 9400f (Nona Geração) 16GB DDR4 GeForce Nvidia 1GB HD 1TB
",3399.0
179,"Computador Intel Core i5 8GB DDR3 SSD 120GB
",1629.0
180,"Computador Fácil Intel Core i5 9400f (Nona Geração) 16GB DDR4 GeForce Nvidia 1GB SSD 960GB
",4049.0
181,"Computador Intel Core i5 8GB DDR3 HD 1TB
",1749.0
182,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 16GB DDR4 HD 500GB
",3269.0
183,"Computador Intel Core i5 8GB DDR3 SSD 240gb
",1749.0
184,"Computador Fácil Intel Core i5 9400f (Nona Geração) 4GB DDR4 GeForce Nvidia 1GB SSD 240GB
",2849.0
185,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 16GB DDR4 SSD 240GB
",3429.0
186,"Computador Completo Corporate Amd A10-9700 8 Gb Ssd 240 Gb Monitor 19""
",3185.26
187,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 4GB DDR4 SSD 240GB
",2929.0
188,"Computador Fácil Intel Core i5 9400f (Nona Geração) 16GB DDR4 GeForce Nvidia 1GB SSD 120GB
",3249.0
189,"Computador Intel 8Gb Ram Hd 500Gb
",1314.99
190,"Computador Intel Core i5 4GB DDR3 HD 500GB
",1459.0
191,"Computador Fácil Intel Core i5 9400f (Nona Geração) 16GB DDR4 GeForce Nvidia 1GB SSD 240GB
",3379.0
192,"Computador Intel Core i5 8GB DDR3 HD 500GB
",1589.0
193,"Computador Fácil Intel Core i5 9400f (Nona Geração) 4GB DDR4 GeForce Nvidia 1GB SSD 120GB
",2729.0
194,"Computador Intel Core i3 4GB DDR3 SSD 240GB
",1359.0
195,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 4GB DDR4 HD 1TB
",2929.0
196,"Computador Completo Corporate Amd A10-9700 8 Gb 3 Tb Monitor 19""
",3358.91
197,"Computador Intel Core i5 8GB DDR3 HD 500GB
",1589.0
198,"Computador Intel Core i5 4GB DDR3 HD 500GB
",1459.0
199,"Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB SSD 480GB
",3199.0
200,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 4GB DDR4 SSD 120GB
",2799.0
201,"Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB SSD 960GB
",3699.0
202,"Computador Intel Core i3 4GB DDR3 HD 500GB
",1229.0
203,"Computador Fácil Slim Premium Intel Core i5 9400f (Nona Geração) 8GB DDR4 HD 1TB
",3129.0
204,"Computador Fácil Intel Core i5 9400f (Nona Geração) 8GB DDR4 GeForce Nvidia 1GB HD 500GB
",2849.0
205,"Computador Intel Core i5 4GB DDR3 HD 500GB
",1459.0
206,"Computador Completo Intel 8Gb Ram Hd 500Gb Teclado E Mouse
",1524.99
207,"Computador Slim AMD 4700S 16GB SSD 240GB Certo PC Corporate 702
",3444.99
208,"Computador Intel 8Gb Ram Hd 500Gb Monitor Teclado E Mouse
",2684.99
209,"Computador Icc Desktop Intel Core I3 3° Gen Ssd 120gb
",1786.49
210,"Computador Slim AMD 4700S 16GB SSD 120GB Certo PC Corporate 701
",3293.99
211,"Computador Slim AMD 4700S 16GB SSD 120GB Windows 10 SL Certo PC Corporate 703
",3644.99
212,"Computador Slim AMD 4700S 16GB SSD 240GB Windows 10 SL Certo PC Corporate 705
",3789.99
