,Produto,Preco
206,"Computador ICC IV2586DM19 Intel Core I5 3.20 ghz 8GB HD 120GB SSD DVDRW Monitor LED 19,5",1937.15
603,Computador Completo Intel Core i3 8GB HD 500GB Monitor LED HDMI Áudio 5.1 canais Quantum Star,1873.19
829,Computador Roca Forte Intel Core i5 8GB SSD 240GB Hdmi Windows 10 Pc Cpu Desktop,1557.05
565,Computador Fácil Intel Core i5 9400f (Nona Geração) 4GB DDR4 GeForce Nvidia 1GB SSD 120GB,2424.34
342,"Computador Gamer Completo com Monitor Full HD 21.5"" Intel Core i5 8GB HD 1TB (Nvidia Geforce GT) Kit gamer com mousepad EasyPC Light",3489.35
37,Computador Pc Cpu Intel Core i3 Hdmi 4GB SSD 120GB Windows 10 Desktop,1329.05
457,Computador Desktop Dell XPS 8940-A20 10ª Geração Intel Core i5 8GB 256GB SSD GTX 1650 SUPER Windows 10 Preto,7199.1
334,"Computador CorpC Graphics Intel Core i7 8GB (Placa de vídeo GeForce GT) HD 1TB Monitor LED 19.5""",3418.79
1017,Computador Slim Intel Core i7-4790 RAM 16GB SSD 1TB Windows 10,4246.15
437,"Computador Completo Intel Core i5 8GB SSD 240GB Mouse teclado mousepad Monitor 19"" HDMI Quantum Premium",2746.79
616,"Computador Completo Intel 8ª Geração 8GB DDR4 SSD 480GB (Placa de vídeo Intel UHD 610) Monitor 19.5"" LED HDMI Skill SpeedUP",2711.49
1048,Computador Pc Completo Intel i5 3Geração 8GB SSD 120GB,2609.1
770,Computador Gamer Fácil Intel Core i5 (Terceira Geração) 16GB GTX 1650 4GB HD 1TB Fonte 500W,4815.14
500,Computador Intel Core i7 10ª Geração 8GB SSD 240GB Certo PC Desempenho 9301,4518.19
800,"Computador Completo Intel Core i5 8GB SSD 240GB Monitor LED 15.6"" HDMI EasyPC Go",2209.19
680,Computador Intel Core i5 8GB DDR3 SSD 120GB,1375.14
147,"Computador Completo Pc Monitor 19"" Intel Core i3 Turbo 4GB SSD 120GB Hdmi Windows 10 Teclado Mouse",1804.05
899,"Computador EasyPC Slim White Intel Core i5 8GB HD 3TB Monitor LED 19.5"" HQ HDMI Branco",2839.19
924,Computador PC Intel 8ª Geração 4GB DDR4 SSD 240GB (Placa de vídeo Intel UHD 610) Monitor LED Branco HDMI Skill SlimPC,2422.49
251,"Computador Completo PC CPU Flex ASUS Intel Core I5 4GB SSD 120Gb Com Kit Monitor 15""",2448.69
917,Computador Completo Embutido Linha Intel Core RAM 8GB  SSD 240GB Windows 10,3845.45
840,Computador Dell Vostro 3681 i5 8GB RAM 256GB SSD Win10 Preto,4769.1
182,Cpu Computador Intel Core i3 8gb HD 500gb Teclado Mouse,1424.05
4,Computador Intel Core i5 8GB SSD 256GB Hdmi Windows 10 Desktop Pc Cpu - Roca Forte,1614.05
301,"Computador Completo Intel Core i3 8GB SSD 240GB Windows 10 Monitor 19"" HDMI 3green ElitePC",2671.19
1002,Computador i5 8 gb hd 1 tb Desktop NextPC,1850.0
219,Computador Fácil Slim Intel Core i5 8GB SSD 240GB,1529.94
134,"Computador Gamer Fácil  Completo Intel Core i5 2400s 8GB HD 2TB GeForce 2GB Monitor 21,5"" HDMI LED",2974.74
734,Computador Gamer Fácil Intel Core i5 (Terceira Geração) 8GB GT 420 4GB 128 bits HD 500GB Fonte 500W,2226.54
939,"Computador Completo Intel Core i5 8GB SSD 120GB Monitor LED 19.5"" HDMI EasyPC Go",2133.59
653,"Computador Completo AMD A6 6-Core (Placa de vídeo Radeon R5) com Windows 10 Professional Monitor 19.5"" HDMI 4GB SSD 120GB MSW Slim",2328.99
837,Computador Deutel Athlon 3000G Mem 8gb HD 500GB,1700.0
478,"Computador Completo PC CPU Monitor 19.5"" Intel Core i5 memória 6GB com HD 2TB saída HDMI Full HD Quantum Plus Desktop",2553.59
402,Computador Corporate I5 8gb Hd 1tb,1444.15
99,Computador Pc Cpu Completo Monitor 18” Intel Core i3 Hdmi 4GB HD 500GB Windows 10 Teclado e Mouse,1804.05
41,Computador Desktop Intel Core i5 8GB HD 1TB Wifi HDMI Full HD EasyPC Terabyte Slim,1789.61
307,"Computador Completo Intel Core i5 8GB HD 2TB Monitor LED HDMI Áudio 5.1 canais Quantum Star monitor 15""",2326.79
224,Computador Intel Core i7-6700 RAM 16GB SSD 500GB Windows 10,3443.58
323,Computador ICC IV2346SM15 Intel Core I3 3.20Ghz 4GB HD 120GB SSD HDMI FULL HD Monitor LED,1478.15
183,"Computador Completo Intel Core i5 8GB HD 500GB Windows 10 Monitor 19"" HDMI 3green ElitePC Slim",2713.19
809,Computador PC CPU Intel Core i5 8GB HD 1TB Windows 10 HDMI Full HD 3green ElitePC Slim,2251.19
121,Computador PC Intel 8ª Geração 4GB DDR4 HD 500GB (Placa de vídeo Intel UHD 610) Monitor LED Branco HDMI Skill SlimPC,2260.99
59,Computador Pc Cpu Intel Core i5 Com Hdmi 8GB SSD 240GB Windows 10 Teclado e Mouse Desktop,1614.05
592,Computador Pc Completo Intel i7 8gb HD 1tb WI-FI,3509.1
703,Computador ICC Intel Core I3 3.20 ghz 8GB HD 500GB Kit Multimídia HDMI FULLHD Monitor LED Windows 10,1818.15
390,"Computador Completo Intel Core i5 8GB SSD 480GB Monitor LED 15.6"" HDMI EasyPC Go",2368.79
922,Computador Fácil Intel Core i5 9400f (Nona Geração) 16GB DDR4 GeForce Nvidia 1GB SSD 960GB,3550.94
462,"Computador 280 G5 HP, Core i3, 4GB, 256GB SSD, Windows 10 Home - 48T09LA",2789.07
755,"Computador Workstation Gráfico Intel XEON Sixcore V2, RAM 16GB, GeForce GT 730, SSD 500GB, Windows 10",3087.5
967,Computador Desktop CorPC SlimPC Intel Core i5 4GB HD 500GB HDMI Wifi Mouse e Teclado sem fio,1453.19
116,Computador PC CPU Intel Core i5 2ª 8GB HD 500GB  Desktop PC CorPC Standard,1462.43
848,Computador PC CPU Intel Core i5 8Gb 2Tb,1804.05
739,"Computador Completo  Intel Core i3 RAM 4GB HD 1TB Monitor 19.5"" LED Quantum Home and Business",2021.03
797,"Computador EasyPC Slim White Intel Core i5 8GB HD 1TB Monitor LED 19.5"" HQ HDMI Branco",2738.39
641,Computador Gamer Fácil Intel Core i5 (Terceira Geração) 8GB Placa de Vídeo Geforce GT 730 2GB SSD 240GB,2209.34
280,"Computador Completo Intel Core i7 16GB HD 3TB Monitor LED 19.5"" HDMI EasyPC Go",3250.79
226,Computador Pc Cpu Intel Core i5 Com Hdmi 8GB HD 500GB Windows 10 Teclado Mouse Desktop,1520.0
2,"Kit Computador Desktop Dell Vostro 3681-M20M 10ª Geração Intel Core i5 8GB 1TB Windows 10 + Monitor 21""",4481.1
969,"Computador Skill, Intel 10ª Geração G5900, (Gráficos Intel 610), 8GB DDR4, SSD 480GB",2022.99
993,"Computador Skill, Intel 10ª Geração G5900, (Gráficos Intel 610), 8GB DDR4, SSD 240GB",1861.49
364,"Computador Completo EasyPC Intel Core i7 8GB HD 2TB Monitor 21.5"" Full HD",3489.35
546,"Computador Completo Skill HomeWork Monitor HDMI LED 15.6"" Intel Dual Core 4GB SSD 60GB HDMI Full HD",1597.99
352,Computador Desktop Dell XPS 8930-A38 GeForce GTX 1060Ti 9ª Geração Intel Core i7 16GB 1TB Windows 10 Preto Office 365,9209.0
589,"Computador Desktop Completo com Monitor 19.5"" HDMI Wifi Intel Core i5 8GB HD 1TB EasyPC Terabyte Slim",2671.19
426,Computador Fácil Intel Core i5 9400f (Nona Geração) 4GB DDR4 GeForce Nvidia 1GB HD 500GB,2407.14
258,"Kit Computador Desktop Dell XPS 8940-A30M 10ª G Intel Core i7 16GB 256GB SSD+1TB HD GTX 1660 Win 10 Preto + Monitor 27""",9449.1
109,Computador Corporate I5 8gb Hd 500gb Kit Multimídia Monitor 15,1750.15
